OBJECTID,GEOID,NAME,Id,Country code,ENRICH_FID,Aggregation method,Population to polygon size rating for the country,Apportionment confidence for the country,Has data,2023 Median Household Income,2023 Population Age 0-4,2023 Population Age 5-9,2023 Population Age 10-14,2023 Population Age 15-19,2023 Population Age 20-24,2023 Population Age 25-29,2023 Population Age 30-34,2023 Population Age 35-39,2023 Population Age 40-44,2023 Population Age 45-49,2023 Population Age 50-54,2023 Population Age 55-59,2023 Population Age 60-64,2023 Population Age 65-69,2023 Population Age 70-74,2023 Population Age 75-79,2023 Population Age 80-84,2023 Population Age 85+,2023 Population Age 18+,2023 Median Age,2023 Male Population,2023 Males Age 0-4,2023 Males Age 5-9,2023 Males Age 10-14,2023 Males Age 15-19,2023 Males Age 20-24,2023 Males Age 25-29,2023 Males Age 30-34,2023 Males Age 35-39,2023 Males Age 40-44,2023 Males Age 45-49,2023 Males Age 50-54,2023 Males Age 55-59,2023 Males Age 60-64,2023 Males Age 65-69,2023 Males Age 70-74,2023 Males Age 75-79,2023 Males Age 80-84,2023 Males Age 85+,2023 Males Age 18+,2023 Median Male Age,2023 Female Population,2023 Females Age 0-4,2023 Females Age 5-9,2023 Females Age 10-14,2023 Females Age 15-19,2023 Females Age 20-24,2023 Females Age 25-29,2023 Females Age 30-34,2023 Females Age 35-39,2023 Females Age 40-44,2023 Females Age 45-49,2023 Females Age 50-54,2023 Females Age 55-59,2023 Females Age 60-64,2023 Females Age 65-69,2023 Females Age 70-74,2023 Females Age 75-79,2023 Females Age 80-84,2023 Females Age 85+,2023 Females Age 18+,2023 Median Female Age,2023 Population Age 21+,2023 Population by 5-Yr Age Base,2023 Males Age 21+,2023 Females Age 21+,2023 Pop Age 25+: < 9th Grade,2023 Pop Age 25+: High School/No Diploma,2023 Pop Age 25+: High School Diploma,2023 Pop Age 25+: GED,2023 Pop Age 25+: Some College/No Degree,2023 Pop Age 25+: Associate's Degree,2023 Pop Age 25+: Bachelor's Degree,2023 Pop Age 25+: Grad/Professional Degree,2023 Educational Attainment Base,2020 Population Density,2023 Civ Pop 16+/Labor Force,2023 Employed Civilian Pop 16+,2023 Control Diet to Maintain Weight,2023 Control Diet for Physical Fitness,2023 Control Diet for Weight Loss,2023 Use Exercise Program for Diet Method,2023 Used Vitamins or Dietary Supplements/6 Mo,2023 Healthy Lifestyle Beats Dieting: 1-Dis Cmpl,2023 Healthy Lifestyle Beats Dieting: 2-Dis Smwht,2023 Healthy Lifestyle Beats Dieting: 3-Agr Smwht,2023 Healthy Lifestyle Beats Dieting: 4-Agr Cmpl,2023 Mostly Try to Lose Weight by Diet: 1-Dis Cmpl,2023 Mostly Try to Lose Weight by Diet: 2-Dis Smwht,2023 Mostly Try to Lose Weight by Diet: 3-Agr Smwht,2023 Mostly Try to Lose Weight by Diet: 4-Agr Cmpl,2023 Seek Info on Nutrition/Healthy Diet: 1-Dis Cmpl,2023 Seek Info on Nutrition/Healthy Diet: 2-Dis Smwht,2023 Seek Info on Nutrition/Healthy Diet: 3-Agr Smwht,2023 Seek Info on Nutrition/Healthy Diet: 4-Agr Cmpl,2023 Will Try Any New Diet: 1-Dis Cmpl,2023 Will Try Any New Diet: 2-Dis Smwht,2023 Will Try Any New Diet: 3-Agr Smwht,2023 Will Try Any New Diet: 4-Agr Cmpl,2023 Consider Diet to Be Very Healthy: 1-Dis Cmpl,2023 Consider Diet to Be Very Healthy: 2-Dis Smwht,2023 Consider Diet to Be Very Healthy: 3-Agr Smwht,2023 Consider Diet to Be Very Healthy: 4-Agr Cmpl,2023 Dom Tapestry Segment Name,2023 Make Sure I Exercise Regularly: 1-Dis Cmpl,2023 Make Sure I Exercise Regularly: 2-Dis Smwht,2023 Make Sure I Exercise Regularly: 3-Agr Smwht,2023 Make Sure I Exercise Regularly: 4-Agr Cmpl,2023 Often Seek New Exercise Routines: 1-Dis Cmpl,2023 Often Seek New Exercise Routines: 2-Dis Smwht,2023 Often Seek New Exercise Routines: 3-Agr Smwht,2023 Often Seek New Exercise Routines: 4-Agr Cmpl,2023 Membership Fees-Social/Rec/Health Clubs
1,48001,Anderson,0,US,1,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,52127.00000000,2747.00000000,2909.00000000,2892.00000000,3189.00000000,4331.00000000,5038.00000000,4961.00000000,4436.00000000,4326.00000000,3760.00000000,3423.00000000,3299.00000000,3384.00000000,3163.00000000,2551.00000000,1846.00000000,1092.00000000,1016.00000000,47938.00000000,38.50000000,34195.00000000,1375.00000000,1466.00000000,1446.00000000,1886.00000000,2965.00000000,3460.00000000,3308.00000000,2880.00000000,2794.00000000,2370.00000000,2098.00000000,1844.00000000,1775.00000000,1610.00000000,1220.00000000,877.00000000,460.00000000,366.00000000,28848.00000000,37.10000000,24172.00000000,1373.00000000,1444.00000000,1447.00000000,1304.00000000,1366.00000000,1579.00000000,1654.00000000,1557.00000000,1533.00000000,1391.00000000,1326.00000000,1456.00000000,1610.00000000,1554.00000000,1332.00000000,970.00000000,632.00000000,650.00000000,19090.00000000,41.20000000,45957.00000000,58363.00000000,27635.00000000,18323.00000000,2074.00000000,4718.00000000,11650.00000000,5604.00000000,8988.00000000,3501.00000000,3998.00000000,1764.00000000,42297.00000000,53.90000000,19043.00000000,18533.00000000,4249.00000000,5092.00000000,8216.00000000,3498.00000000,26205.00000000,1942.00000000,6074.00000000,20552.00000000,12423.00000000,17710.00000000,12029.00000000,8627.00000000,2636.00000000,9565.00000000,13118.00000000,13928.00000000,4388.00000000,24810.00000000,10871.00000000,4140.00000000,1176.00000000,4425.00000000,11799.00000000,20029.00000000,4741.00000000,Rooted Rural,4734.00000000,8849.00000000,16065.00000000,11344.00000000,7673.00000000,13705.00000000,15205.00000000,4412.00000000,2736692.00000000
2,48003,Andrews,1,US,2,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,80681.00000000,1374.00000000,1453.00000000,1434.00000000,1259.00000000,1049.00000000,1212.00000000,1409.00000000,1338.00000000,1177.00000000,1008.00000000,1087.00000000,1184.00000000,1212.00000000,977.00000000,807.00000000,565.00000000,324.00000000,268.00000000,14070.00000000,36.40000000,9671.00000000,725.00000000,786.00000000,767.00000000,659.00000000,558.00000000,596.00000000,739.00000000,688.00000000,577.00000000,507.00000000,531.00000000,593.00000000,604.00000000,484.00000000,357.00000000,270.00000000,122.00000000,108.00000000,6957.00000000,35.00000000,9466.00000000,649.00000000,667.00000000,667.00000000,600.00000000,491.00000000,616.00000000,670.00000000,650.00000000,600.00000000,501.00000000,556.00000000,591.00000000,608.00000000,493.00000000,450.00000000,295.00000000,202.00000000,160.00000000,7113.00000000,37.90000000,13408.00000000,19137.00000000,6621.00000000,6787.00000000,1558.00000000,1104.00000000,3428.00000000,709.00000000,2032.00000000,1058.00000000,1999.00000000,680.00000000,12568.00000000,12.40000000,9379.00000000,9138.00000000,1365.00000000,1723.00000000,2530.00000000,1120.00000000,8429.00000000,800.00000000,2177.00000000,6797.00000000,4291.00000000,6313.00000000,3972.00000000,2756.00000000,1036.00000000,3744.00000000,4144.00000000,4662.00000000,1527.00000000,8506.00000000,3731.00000000,1444.00000000,389.00000000,1144.00000000,4178.00000000,6984.00000000,1765.00000000,Economic BedRock,1400.00000000,3197.00000000,5517.00000000,3955.00000000,2913.00000000,4463.00000000,5086.00000000,1609.00000000,1395588.00000000
3,48005,Angelina,2,US,3,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,52045.00000000,5718.00000000,6083.00000000,6001.00000000,5456.00000000,5287.00000000,5946.00000000,6026.00000000,5647.00000000,5425.00000000,4938.00000000,4997.00000000,5064.00000000,5191.00000000,4737.00000000,3972.00000000,2807.00000000,1760.00000000,1631.00000000,65566.00000000,37.50000000,42760.00000000,2896.00000000,3086.00000000,3063.00000000,2815.00000000,2681.00000000,3023.00000000,3015.00000000,2816.00000000,2710.00000000,2456.00000000,2448.00000000,2503.00000000,2512.00000000,2284.00000000,1808.00000000,1302.00000000,727.00000000,612.00000000,31981.00000000,36.40000000,43925.00000000,2821.00000000,2997.00000000,2938.00000000,2640.00000000,2606.00000000,2923.00000000,3011.00000000,2830.00000000,2714.00000000,2481.00000000,2549.00000000,2560.00000000,2678.00000000,2453.00000000,2163.00000000,1505.00000000,1033.00000000,1019.00000000,33585.00000000,38.60000000,62333.00000000,86686.00000000,30355.00000000,31978.00000000,3514.00000000,4837.00000000,15360.00000000,3965.00000000,13063.00000000,5547.00000000,7989.00000000,3865.00000000,58140.00000000,99.70000000,38467.00000000,36318.00000000,7220.00000000,8775.00000000,13351.00000000,6101.00000000,43077.00000000,3099.00000000,9565.00000000,32425.00000000,20481.00000000,28617.00000000,19096.00000000,13769.00000000,4085.00000000,14716.00000000,20842.00000000,22602.00000000,7403.00000000,39770.00000000,16930.00000000,7100.00000000,1769.00000000,7420.00000000,19474.00000000,31117.00000000,7557.00000000,Southern Satellites,7787.00000000,14297.00000000,24801.00000000,18680.00000000,11637.00000000,21706.00000000,24521.00000000,7699.00000000,5706541.00000000
4,48007,Aransas,3,US,4,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,52815.00000000,1019.00000000,1131.00000000,1160.00000000,1011.00000000,913.00000000,1197.00000000,1151.00000000,1080.00000000,1062.00000000,1236.00000000,1388.00000000,1747.00000000,2236.00000000,2523.00000000,2241.00000000,1542.00000000,887.00000000,576.00000000,20147.00000000,53.90000000,12080.00000000,520.00000000,578.00000000,594.00000000,533.00000000,490.00000000,630.00000000,584.00000000,543.00000000,540.00000000,611.00000000,661.00000000,846.00000000,1091.00000000,1266.00000000,1077.00000000,831.00000000,438.00000000,247.00000000,10058.00000000,53.20000000,12020.00000000,499.00000000,553.00000000,566.00000000,478.00000000,423.00000000,567.00000000,567.00000000,537.00000000,522.00000000,625.00000000,727.00000000,901.00000000,1145.00000000,1257.00000000,1164.00000000,711.00000000,449.00000000,329.00000000,10089.00000000,54.60000000,19608.00000000,24100.00000000,9770.00000000,9838.00000000,918.00000000,938.00000000,4962.00000000,1461.00000000,3772.00000000,1620.00000000,3500.00000000,1695.00000000,18866.00000000,45.40000000,9646.00000000,9169.00000000,2406.00000000,2596.00000000,4114.00000000,1682.00000000,13718.00000000,853.00000000,2767.00000000,10343.00000000,6183.00000000,9202.00000000,5936.00000000,3871.00000000,1136.00000000,4698.00000000,6466.00000000,6960.00000000,2022.00000000,12984.00000000,5052.00000000,1703.00000000,415.00000000,2022.00000000,5412.00000000,10247.00000000,2465.00000000,Rural Resort Dwellers,2279.00000000,4054.00000000,7815.00000000,5999.00000000,3662.00000000,6878.00000000,7688.00000000,1920.00000000,1971713.00000000
5,48009,Archer,4,US,5,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,69969.00000000,382.00000000,423.00000000,490.00000000,504.00000000,433.00000000,491.00000000,475.00000000,441.00000000,540.00000000,513.00000000,580.00000000,675.00000000,718.00000000,630.00000000,485.00000000,359.00000000,212.00000000,151.00000000,6890.00000000,45.70000000,4300.00000000,176.00000000,202.00000000,244.00000000,272.00000000,231.00000000,266.00000000,276.00000000,214.00000000,267.00000000,257.00000000,303.00000000,340.00000000,364.00000000,306.00000000,253.00000000,173.00000000,93.00000000,63.00000000,3505.00000000,45.00000000,4202.00000000,206.00000000,221.00000000,246.00000000,232.00000000,202.00000000,225.00000000,199.00000000,227.00000000,273.00000000,256.00000000,277.00000000,335.00000000,354.00000000,324.00000000,232.00000000,186.00000000,119.00000000,88.00000000,3385.00000000,46.40000000,6611.00000000,8502.00000000,3359.00000000,3252.00000000,144.00000000,368.00000000,2137.00000000,330.00000000,1277.00000000,450.00000000,1068.00000000,496.00000000,6270.00000000,9.30000000,4191.00000000,4063.00000000,758.00000000,906.00000000,1377.00000000,623.00000000,4501.00000000,274.00000000,992.00000000,3540.00000000,2083.00000000,3120.00000000,2069.00000000,1308.00000000,393.00000000,1662.00000000,2271.00000000,2257.00000000,702.00000000,4436.00000000,1817.00000000,501.00000000,137.00000000,578.00000000,2035.00000000,3435.00000000,842.00000000,Green Acres,694.00000000,1542.00000000,2660.00000000,1995.00000000,1293.00000000,2358.00000000,2544.00000000,695.00000000,756376.00000000
6,48011,Armstrong,5,US,6,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,73703.00000000,95.00000000,106.00000000,113.00000000,88.00000000,65.00000000,99.00000000,77.00000000,112.00000000,126.00000000,89.00000000,110.00000000,108.00000000,148.00000000,136.00000000,130.00000000,94.00000000,69.00000000,58.00000000,1450.00000000,46.70000000,903.00000000,48.00000000,54.00000000,58.00000000,40.00000000,36.00000000,55.00000000,32.00000000,60.00000000,67.00000000,40.00000000,58.00000000,47.00000000,77.00000000,71.00000000,65.00000000,43.00000000,30.00000000,22.00000000,717.00000000,45.20000000,920.00000000,47.00000000,52.00000000,55.00000000,48.00000000,29.00000000,44.00000000,45.00000000,52.00000000,59.00000000,49.00000000,52.00000000,61.00000000,71.00000000,65.00000000,65.00000000,51.00000000,39.00000000,36.00000000,733.00000000,48.00000000,1407.00000000,1823.00000000,696.00000000,711.00000000,54.00000000,50.00000000,357.00000000,16.00000000,359.00000000,139.00000000,253.00000000,128.00000000,1356.00000000,2.00000000,815.00000000,799.00000000,165.00000000,194.00000000,303.00000000,140.00000000,991.00000000,69.00000000,183.00000000,800.00000000,399.00000000,653.00000000,474.00000000,254.00000000,69.00000000,386.00000000,498.00000000,430.00000000,136.00000000,962.00000000,361.00000000,98.00000000,29.00000000,137.00000000,468.00000000,672.00000000,173.00000000,Prairie Living,150.00000000,359.00000000,545.00000000,396.00000000,305.00000000,506.00000000,512.00000000,128.00000000,151330.00000000
7,48013,Atascosa,6,US,7,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,63442.00000000,3270.00000000,3543.00000000,3556.00000000,3254.00000000,2919.00000000,3338.00000000,3328.00000000,3122.00000000,3038.00000000,2872.00000000,2959.00000000,3093.00000000,3241.00000000,3066.00000000,2488.00000000,1542.00000000,872.00000000,730.00000000,37862.00000000,38.10000000,24964.00000000,1654.00000000,1805.00000000,1814.00000000,1687.00000000,1430.00000000,1703.00000000,1651.00000000,1577.00000000,1538.00000000,1403.00000000,1507.00000000,1512.00000000,1579.00000000,1509.00000000,1205.00000000,728.00000000,386.00000000,280.00000000,18661.00000000,37.30000000,25263.00000000,1616.00000000,1739.00000000,1743.00000000,1567.00000000,1489.00000000,1635.00000000,1678.00000000,1545.00000000,1500.00000000,1469.00000000,1452.00000000,1581.00000000,1662.00000000,1557.00000000,1283.00000000,814.00000000,486.00000000,450.00000000,19200.00000000,38.80000000,36003.00000000,50231.00000000,17714.00000000,18290.00000000,2686.00000000,3086.00000000,12410.00000000,1708.00000000,6210.00000000,1924.00000000,4335.00000000,1326.00000000,33685.00000000,40.10000000,21847.00000000,20717.00000000,4034.00000000,4774.00000000,7752.00000000,3169.00000000,24788.00000000,1897.00000000,5976.00000000,18305.00000000,11685.00000000,16272.00000000,11405.00000000,7636.00000000,2551.00000000,9069.00000000,12092.00000000,12536.00000000,4164.00000000,23419.00000000,9800.00000000,3676.00000000,967.00000000,4483.00000000,11355.00000000,17758.00000000,4267.00000000,Southern Satellites,4849.00000000,8182.00000000,14297.00000000,10534.00000000,7231.00000000,12524.00000000,13974.00000000,4130.00000000,3531591.00000000
8,48015,Austin,7,US,8,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,70645.00000000,1727.00000000,1944.00000000,2023.00000000,1827.00000000,1508.00000000,1744.00000000,1881.00000000,1881.00000000,1797.00000000,1716.00000000,1960.00000000,2089.00000000,2327.00000000,2235.00000000,1691.00000000,1216.00000000,660.00000000,572.00000000,23945.00000000,42.40000000,15378.00000000,863.00000000,991.00000000,1007.00000000,993.00000000,758.00000000,874.00000000,922.00000000,976.00000000,906.00000000,832.00000000,1012.00000000,1033.00000000,1195.00000000,1126.00000000,802.00000000,591.00000000,292.00000000,206.00000000,11888.00000000,41.70000000,15419.00000000,865.00000000,953.00000000,1016.00000000,834.00000000,751.00000000,870.00000000,959.00000000,905.00000000,891.00000000,884.00000000,948.00000000,1055.00000000,1132.00000000,1108.00000000,889.00000000,626.00000000,367.00000000,365.00000000,12057.00000000,43.10000000,22968.00000000,30798.00000000,11369.00000000,11599.00000000,1108.00000000,1323.00000000,6734.00000000,901.00000000,4445.00000000,1451.00000000,4096.00000000,1710.00000000,21768.00000000,45.80000000,15202.00000000,14498.00000000,2697.00000000,3227.00000000,4851.00000000,2214.00000000,15877.00000000,999.00000000,3471.00000000,11863.00000000,7612.00000000,10734.00000000,7044.00000000,4851.00000000,1318.00000000,5315.00000000,7928.00000000,8202.00000000,2502.00000000,15099.00000000,6136.00000000,2167.00000000,543.00000000,2367.00000000,6631.00000000,12100.00000000,2847.00000000,The Great Outdoors,2620.00000000,5203.00000000,9092.00000000,7031.00000000,4349.00000000,8081.00000000,8879.00000000,2637.00000000,2740465.00000000
9,48017,Bailey,8,US,9,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,58821.00000000,584.00000000,601.00000000,541.00000000,490.00000000,349.00000000,449.00000000,505.00000000,432.00000000,358.00000000,330.00000000,344.00000000,350.00000000,380.00000000,347.00000000,291.00000000,210.00000000,136.00000000,124.00000000,4789.00000000,33.90000000,3497.00000000,299.00000000,309.00000000,274.00000000,262.00000000,179.00000000,243.00000000,248.00000000,227.00000000,201.00000000,163.00000000,176.00000000,192.00000000,192.00000000,177.00000000,146.00000000,100.00000000,59.00000000,50.00000000,2452.00000000,33.70000000,3324.00000000,285.00000000,292.00000000,267.00000000,228.00000000,170.00000000,206.00000000,257.00000000,205.00000000,157.00000000,167.00000000,168.00000000,158.00000000,188.00000000,170.00000000,145.00000000,110.00000000,77.00000000,74.00000000,2337.00000000,34.20000000,4530.00000000,6821.00000000,2313.00000000,2217.00000000,334.00000000,740.00000000,1325.00000000,222.00000000,678.00000000,229.00000000,408.00000000,320.00000000,4256.00000000,8.30000000,2793.00000000,2683.00000000,567.00000000,608.00000000,907.00000000,496.00000000,3069.00000000,285.00000000,648.00000000,2494.00000000,1374.00000000,2161.00000000,1405.00000000,936.00000000,287.00000000,1219.00000000,1606.00000000,1497.00000000,468.00000000,2924.00000000,1235.00000000,487.00000000,125.00000000,506.00000000,1546.00000000,2191.00000000,549.00000000,Prairie Living,497.00000000,1168.00000000,1864.00000000,1261.00000000,904.00000000,1556.00000000,1830.00000000,500.00000000,381228.00000000
10,48019,Bandera,9,US,10,BlockApportionment:US.BlockGroups;PointsLayer:US.BlockPoints,2.19100000,2.57600000,1,67176.00000000,833.00000000,982.00000000,1150.00000000,1067.00000000,787.00000000,899.00000000,997.00000000,1041.00000000,1095.00000000,1252.00000000,1664.00000000,1947.00000000,2137.00000000,2167.00000000,1862.00000000,1178.00000000,682.00000000,408.00000000,18481.00000000,52.90000000,11127.00000000,419.00000000,492.00000000,587.00000000,554.00000000,413.00000000,446.00000000,525.00000000,541.00000000,529.00000000,625.00000000,789.00000000,981.00000000,1035.00000000,1091.00000000,917.00000000,622.00000000,353.00000000,209.00000000,9267.00000000,52.70000000,11020.00000000,414.00000000,490.00000000,562.00000000,513.00000000,374.00000000,454.00000000,471.00000000,501.00000000,566.00000000,627.00000000,875.00000000,966.00000000,1101.00000000,1076.00000000,945.00000000,556.00000000,329.00000000,199.00000000,9214.00000000,53.10000000,17948.00000000,22148.00000000,8992.00000000,8955.00000000,535.00000000,852.00000000,4394.00000000,719.00000000,3563.00000000,1976.00000000,3325.00000000,1964.00000000,17328.00000000,26.30000000,10356.00000000,9912.00000000,2164.00000000,2514.00000000,3700.00000000,1564.00000000,12933.00000000,809.00000000,2459.00000000,9131.00000000,6082.00000000,8643.00000000,5544.00000000,3429.00000000,864.00000000,4207.00000000,5806.00000000,6497.00000000,1972.00000000,12127.00000000,4626.00000000,1462.00000000,293.00000000,1659.00000000,4826.00000000,9681.00000000,2317.00000000,The Great Outdoors,1885.00000000,3772.00000000,6971.00000000,5856.00000000,3240.00000000,6294.00000000,7067.00000000,1880.00000000,2012876.00000000
